type,1,2,3,4,5,6,7,8,9,10
attack,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
normal,0.0,3.276623e-30,5.3459496e-28,0.0,0.0,1.776357e-25,2.8086613e-21,1.2592001e-37,1.527466e-31,2.1014139e-31
normal,1.2491374e-13,1.6835263e-35,8.550174e-20,2.2367062e-22,2.699312e-21,1.2926549e-16,1.3113617e-35,1.5537411e-16,2.4145938e-37,0.0
normal,3.2489423e-30,0.0,5.678541e-15,0.0,0.0,6.876872e-18,0.0,4.446758e-24,0.0,6.513899e-25
attack,6.119488e-21,6.0223654e-05,2.1854848e-37,1.01250245e-29,1.9650926e-33,0.9926046,0.0035398602,1.3479048e-06,0.9999995,0.9989618
attack,0.0,1.0,5.8192635e-29,0.0,1.0,1.0,0.0,0.9997469,1.0,0.0
attack,0.0,1.0,0.0,0.0,6.051223e-34,1.0,1.9506548e-34,1.0,1.0,1.0
normal,2.3864106e-20,8.190617e-30,2.45964e-26,0.99956477,0.0,0.0,6.889451e-25,0.0,6.257026e-13,1.9578689e-10
attack,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
attack,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
attack,0.0,2.6476432e-32,0.0,0.999999,1.0,4.998873e-27,8.81901e-24,0.999998,0.6476071,0.9996897
attack,0.0,0.0,0.0,1.436732e-27,8.82881e-23,0.0,8.054308e-25,0.0,1.8716923e-14,0.9972793
attack,0.0,0.0,0.0,0.0,8.630899e-32,2.4847973e-29,5.909243e-34,1.3870997e-34,0.0,7.5236174e-38
attack,0.0,0.0,1.8331898e-35,1.0,0.0,1.0,1.0,1.0,1.0,7.1398365e-24
attack,0.0,2.7692082e-13,0.00010112512,2.883138e-31,0.061225414,1.3650296e-06,0.0,0.0,5.2659414e-07,1.4574684e-12
attack,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.342174e-32,0.0,0.0
attack,0.0,2.0263447e-31,1.0,3.002672e-30,0.999998,1.9353437e-32,0.99999964,7.1677846e-23,0.9904632,1.0
